date,price,signal,returns,strategy_returns,equity_curve
2025-03-07,1689.25,1,-0.0011530274361400972,-0.0249804800066854,1.4684977534543313
2025-03-10,1687.5,1,-0.0010359627053425635,-0.008208777045899951,1.4564431828038198
2025-03-11,1685.5,1,-0.001185185185185178,-0.014360022587818766,1.4355286258008824
2025-03-12,1711.15,1,0.015218036191041229,0.012553920035971,1.453550137378534
2025-03-13,1706.6,1,-0.0026590304765802264,0.009184830387793164,1.466900748850509
2025-03-17,1710.4,1,0.0022266494784952684,0.01256450730242853,1.4853316340213791
2025-03-18,1732.2,1,0.012745556594948582,0.026346026602719674,1.5244642207651677
2025-03-19,1744.1,0,0.006869876457683777,0.03340108824558863,1.5753829847301877
2025-03-20,1768.75,1,0.014133363912619767,-0.001,1.5738076017454574
2025-03-21,1770.35,0,0.0009045936395759568,0.03588004008332335,1.6302758815795235
2025-03-24,1800.0,1,0.016748100658062093,-0.001,1.628645605697944
2025-03-25,1821.45,0,0.011916666666666798,0.04957260133460839,1.7093818050245697
2025-03-26,1806.55,1,-0.008180295918087332,-0.001,1.707672423219545
2025-03-27,1825.35,0,0.0104065760704104,0.030795641116627914,1.7602612903097765
2025-03-28,1828.2,0,0.0015613443997042342,0.0,1.7602612903097765
2025-04-01,1767.85,0,-0.03301061153046725,-0.0,1.7602612903097765
2025-04-02,1796.9,0,0.016432389625816723,-0.0,1.7602612903097765
2025-04-03,1794.85,0,-0.0011408536924704116,-0.0,1.7602612903097765
2025-04-04,1817.3,1,0.01250800902582383,-0.001,1.7585010290194667
2025-04-07,1757.7,1,-0.03279590601441695,-0.03800697258571406,1.6916657286175738
2025-04-08,1769.15,0,0.0065141946862377065,0.0005178336309908946,1.692541730024247
2025-04-09,1765.0,1,-0.0023457592629229085,-0.001,1.6908491882942227
2025-04-11,1806.75,1,0.023654390934844116,0.00753492936956579,1.7035896175026075
2025-04-15,1864.9,1,0.032184862321848584,0.027211782665590545,1.7499473279254447
2025-04-16,1878.0,1,0.007024505335406772,0.06703219401541427,1.8672501367276988
2025-04-17,1906.7,1,0.015282215122470744,0.07580021445164731,2.008788097526526
2025-04-21,1927.1,1,0.010699113651859271,0.08884508736642949,2.187259051551914
2025-04-22,1961.7,1,0.01795443931295737,0.08314513574454274,2.3691190023016775
2025-04-23,1923.9,1,-0.01926900137635723,0.03169127204633693,2.444199397113766
2025-04-24,1916.8,1,-0.0036904205000261037,0.02097634621090405,2.4954697698761072
2025-04-25,1911.2,1,-0.002921535893155247,0.0027725951952780603,2.502388697370028
2025-04-28,1920.2,1,0.004709083298451322,-0.003217435158129889,2.4943374239958027
2025-04-29,1908.8,1,-0.005936881574835962,-0.02710875604592322,2.426719039272484
2025-04-30,1925.0,1,0.008487007544006664,0.0006472528744406736,2.428289740146113
2025-05-02,1925.0,1,0.0,0.004337673374466777,2.438822867897436
2025-05-05,1936.8,0,0.006129870129870207,0.01238907939749223,2.4690376380442376
2025-05-06,1931.7,0,-0.0026332094175960385,0.0,2.4690376380442376
2025-05-07,1945.6,0,0.007195734327276382,0.0,2.4690376380442376
2025-05-08,1928.5,1,-0.0087890625,-0.001,2.4665686004061933
2025-05-09,1889.7,0,-0.020119263676432464,-0.019215931136881914,2.4191711880363926
2025-05-12,1957.2,0,0.035719955548499716,0.0,2.4191711880363926
2025-05-13,1922.6,1,-0.017678315961577873,-0.001,2.4167520168483563
2025-05-14,1910.6,1,-0.006241547903880207,-0.017108234493390828,2.3754056566317394
2025-05-15,1933.8,1,0.012142782372029703,0.0038236103786388753,2.384488282353914
2025-05-16,1934.7,1,0.00046540490226498754,0.024408278957336327,2.442689537520108
2025-05-19,1938.7,1,0.0020675040057889227,-0.009244172585374466,2.4201088938627837
2025-05-20,1914.9,1,-0.01227626760200129,-0.0038421242257978827,2.4108105348526045
2025-05-21,1926.8,1,0.006214423729698604,0.008613847407780928,2.431576888928895
2025-05-22,1919.9,1,-0.0035810670541830403,-0.007110002018431816,2.4142883723406383
2025-05-23,1933.6,1,0.007135788322308434,-0.00043961859838836936,2.4132270062702847
2025-05-26,1940.2,1,0.003413322300372501,0.000906199696195209,2.415413871850217
2025-05-27,1926.3,1,-0.007164209875270666,0.006018257422925832,2.4299504543139174
2025-05-28,1923.5,0,-0.0014535638270258833,-0.0026497301337986548,2.423511741371484
2025-05-29,1927.5,0,0.0020795425006499,0.0,2.423511741371484
2025-05-30,1944.9,1,0.009027237354085615,-0.001,2.421088229630113
2025-06-02,1932.1,0,-0.0065813152347165005,-0.005092309082277534,2.4087593000493723
2025-06-03,1924.6,1,-0.003881786657005337,-0.001,2.406350540749323
2025-06-04,1941.2,0,0.00862516886625797,0.008268846829271648,2.4262482847883144
2025-06-05,1949.6,0,0.00432722027611776,0.0,2.4262482847883144
2025-06-06,1978.7,1,0.014926138695116942,-0.001,2.4238220365035263
2025-06-09,1978.9,0,0.00010107646434520667,0.02309781764483254,2.479807035906212
2025-06-10,1965.3,0,-0.006872504926979661,0.0,2.479807035906212
2025-06-11,1950.4,0,-0.007581539714038521,0.0,2.479807035906212
2025-06-12,1943.4,0,-0.0035890073831008618,-0.0,2.479807035906212
2025-06-13,1917.6,1,-0.013275702377277043,-0.001,2.4773272288703057
2025-06-16,1935.4,1,0.00928243637880688,-0.022036318022589207,2.4227360582089
2025-06-17,1929.6,1,-0.0029967965278496767,-0.018160609623459223,2.3787376944350895
2025-06-18,1933.9,0,0.0022284411276949356,-0.009350628781725767,2.356495001285329
2025-06-19,1935.3,0,0.0007239257459019655,-0.0,2.356495001285329
2025-06-20,1964.7,1,0.015191443187102749,-0.001,2.3541385062840434
2025-06-23,1948.4,1,-0.008296432025245548,0.006850581507604425,2.3702657240015323
2025-06-24,1960.9,1,0.006415520427017096,0.016262898462471198,2.4088131148000453
2025-06-25,1980.2,1,0.009842419297261484,0.023876876632037747,2.4663280483717602
2025-06-26,2021.8,1,0.021007978992021004,0.044160929878156785,2.5752433883724373
2025-06-27,2014.9,1,-0.0034128004748243956,0.02555668621622964,2.6410580755794912
2025-06-30,2001.5,1,-0.006650454116829629,0.02720266412464556,2.7129018913431624
2025-07-01,2012.1,1,0.005296027979015738,0.0260831716766442,2.783662977116959
2025-07-02,1986.0,1,-0.012971522290144533,0.0032692300892381843,2.792763411880048
2025-07-03,1987.1,1,0.0005538771399797859,-0.017184871762803033,2.744770130783041
2025-07-04,1989.3,1,0.0011071410598360032,-0.012664930228142635,2.710007808584384
2025-07-07,1987.4,1,-0.0009551098376312517,-0.006969585948944257,2.691120176240145
2025-07-08,2001.4,1,0.007044379591425898,-0.005221234336534097,2.67706920717222
2025-07-09,2011.2,1,0.004896572399320398,0.012646860352930833,2.7109257275904586
2025-07-10,2006.2,1,-0.0024860779634049424,0.009606905249546105,2.736969334193977
2025-07-11,1983.7,1,-0.011215232778386985,-0.0027154685886768837,2.7295371799388013
2025-07-14,1983.0,0,-0.00035287593890209745,-0.0031132346899477295,2.7210394901027137
2025-07-15,1995.5,0,0.006303580433686395,-0.0,2.7210394901027137
2025-07-16,1996.3,1,0.0004009020295665522,-0.001,2.7183184506126112
2025-07-17,1986.9,1,-0.004708711115563702,-0.009572337369599837,2.6922977893253393
2025-07-18,1957.4,0,-0.014847249484120972,-0.014204354075333825,2.654055438249524
2025-07-21,2000.5,0,0.0220190048022888,0.0,2.654055438249524
2025-07-22,2007.1,1,0.0032991752061983792,-0.001,2.651401382811274
2025-07-23,2024.3,1,0.008569577998106759,0.014331797406909264,2.6894007302741243
2025-07-24,2014.2,1,-0.0049893790446079445,0.01405112947786502,2.727189848153071
2025-07-25,2004.6,1,-0.00476616026213883,0.024132218699847163,2.793002990004704
2025-07-28,2008.5,1,0.0019455252918287869,0.0040587391893871505,2.8043390606963117
2025-07-29,2021.6,1,0.0065222803086879555,0.007281844291876727,2.82475982107793
2025-07-30,2025.8,1,0.0020775623268698418,0.0007898286206398097,2.8269908972310507
2025-07-31,2018.2,1,-0.0037516043044723,0.002027603360775454,2.832722913475158
2025-08-01,2012.2,0,-0.0029729461896739195,0.0028208174332403644,2.8407135076530285
2025-08-04,1992.0,1,-0.010038763542391416,-0.001,2.8378727941453756
2025-08-05,1977.6,1,-0.0072289156626506035,-0.021914667372318397,2.775681755816728
2025-08-06,1985.3,1,0.00389360841423958,-0.02009862128494866,2.719894379399026
2025-08-07,1995.4,1,0.005087392333652518,-0.01125962464682384,2.689269389607987
2025-08-08,1973.9,1,-0.010774781998596827,-0.019061460455746748,2.638007987483124
2025-08-11,1995.6,1,0.010993464714524448,0.0019707678011691154,2.643206888684083
2025-08-12,1969.9,0,-0.01287833233112834,-0.00467864886730862,2.6308402517682787
2025-08-13,1980.3,0,0.005279455809939604,-0.0,2.6308402517682787
2025-08-14,1991.1,1,0.005453719133464707,-0.001,2.6282094115165107
2025-08-18,2003.6,1,0.006277936818843921,0.01512624414564434,2.6679643487409894
2025-08-19,1991.1,1,-0.006238770213615519,-0.002105990782495626,2.662345640414514
2025-08-20,1988.2,0,-0.0014564813419717382,0.008315860206660974,2.6844853345820145
2025-08-21,1991.2,0,0.0015089025248968824,0.0,2.6844853345820145
2025-08-22,1964.6,0,-0.013358778625954248,-0.0,2.6844853345820145
2025-08-25,1964.1,0,-0.0002545047337880746,-0.0,2.6844853345820145
2025-08-26,973.4,0,-0.5044040527468052,-0.0,2.6844853345820145
2025-08-28,957.8,1,-0.01602629956852275,-0.001,2.6818008492474323
2025-08-29,951.6,1,-0.006473167675923874,-0.5405168033509942,1.2322424269882288
2025-09-01,950.6,0,-0.0010508617065994041,-0.5292088864316393,0.5801287843879677
2025-09-02,944.5,1,-0.006416999789606637,-0.001,0.5795486556035797
2025-09-03,954.45,0,0.010534674430915825,-0.020432654309736842,0.567706938267959
2025-09-04,961.25,1,0.007124521976006992,-0.001,0.5671392313296911
2025-09-05,963.4,1,0.0022366710013004276,0.012428005912017204,0.5741876410495934
2025-09-08,966.0,1,0.002698775171268375,0.016177642789884983,0.5834766436008604
2025-09-09,965.15,1,-0.0008799171842650555,0.021714725395226564,0.5961466786911815
2025-09-10,965.9,1,0.0007770812827021523,0.011957132247012892,0.6032748833669095
2025-09-11,967.8,1,0.001967077337198475,0.0067996876082043745,0.6073769641156804
2025-09-12,967.3,1,-0.000516635668526555,0.004046380938377392,0.6098346426856878
2025-09-15,967.05,1,-0.000258451359454126,0.001089154407654891,0.6104988467747096
2025-09-16,966.85,1,-0.00020681453906201686,0.0017622570528579296,0.6115747026731999
2025-09-17,966.5,1,-0.00036200031028599255,0.0006231754598697847,0.611955821019783
2025-09-18,976.9,1,0.010760475944128212,0.009416574066799521,0.6177183483340248
2025-09-19,966.9,1,-0.010236462278636504,-0.0003032525433104283,0.617531023673843
2025-09-22,964.2,1,-0.002792429413589703,-0.0028372305974460055,0.6157789457586035
2025-09-23,957.2,1,-0.0072599045841111876,-0.009890320642495176,0.6096886945401533
2025-09-24,951.05,1,-0.006424989552862637,-0.01595330988507182,0.5999621418627293
