DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
08-Mar-19,EQ,722.95,722.95,710.65,722.95,713.2,712.35,714.77,"1,467.90",599.85,7193994,"5,14,20,23,171.55",154378
11-Mar-19,EQ,713.3,718.5,709.4,712.35,711.05,711.25,712.07,"1,467.90",599.85,9932198,"7,07,23,98,150.50",173911
12-Mar-19,EQ,709,714.95,705.6,711.25,706.75,706.95,708.99,"1,467.90",599.85,11997387,"8,50,59,77,966.95",224748
13-Mar-19,EQ,710,718.6,706.3,706.95,709,708.45,710.81,"1,467.90",599.85,11348867,"8,06,68,93,616.50",183506
14-Mar-19,EQ,714,714.9,706.2,708.45,708.45,708.35,710.02,"1,467.90",599.85,6415187,"4,55,49,11,140.75",158840
15-Mar-19,EQ,712,723.75,709.6,708.35,720,718.55,717.57,"1,467.90",599.85,14638664,"10,50,42,07,794.75",174230
18-Mar-19,EQ,721.55,723.7,705.35,718.55,709.5,710.2,715,"1,467.90",599.85,8065544,"5,76,68,84,632.40",169894
19-Mar-19,EQ,712.8,726.5,707.4,710.2,725.9,722.25,715.22,"1,467.90",599.85,8917337,"6,37,78,97,941.45",165399
20-Mar-19,EQ,727.25,742.3,727.15,722.25,737.8,738.95,737.53,"1,467.90",599.85,13471173,"9,93,53,68,276.45",368666
22-Mar-19,EQ,745,746.35,732.3,738.95,745,743.1,741.4,"1,467.90",599.85,8883260,"6,58,60,09,782.70",186950
25-Mar-19,EQ,742.4,742.4,730.55,743.1,733.95,735.25,735.24,"1,467.90",599.85,7644966,"5,62,09,07,954.85",150353
26-Mar-19,EQ,735.25,735.25,719.1,735.25,727.8,727.75,724.65,"1,467.90",599.85,9406261,"6,81,62,21,095.10",220918
27-Mar-19,EQ,730,732.3,727.15,727.75,728.9,729.7,730.32,"1,467.90",599.85,7387487,"5,39,51,99,920.75",122789
28-Mar-19,EQ,730,745,730,729.7,739.1,737.8,739.73,"1,467.90",599.85,9277241,"6,86,26,16,740.60",187881
29-Mar-19,EQ,743.9,747.95,740,737.8,742.15,743.85,743.49,"1,467.90",599.85,6924061,"5,14,79,91,154.00",155083
01-Apr-19,EQ,742,760,742,743.85,753.75,755.1,754.32,"1,467.90",599.85,6584982,"4,96,71,99,559.50",149150
02-Apr-19,EQ,759,765.8,754.6,755.1,755,759.4,760.56,"1,467.90",599.85,7283600,"5,53,96,25,142.55",169885
03-Apr-19,EQ,756,758.5,746.8,759.4,751.65,753.3,752.48,"1,467.90",599.85,6897127,"5,18,99,55,761.45",200625
04-Apr-19,EQ,751.4,753.8,745.1,753.3,748.95,747.9,748.43,"1,467.90",599.85,7688525,"5,75,43,45,632.50",178872
05-Apr-19,EQ,750.9,760.95,748,747.9,759.55,759.3,758.69,"1,467.90",599.85,6276040,"4,76,15,76,372.70",148065
08-Apr-19,EQ,763.05,770,755.4,759.3,769.15,767.25,762.8,"1,467.90",599.85,4919911,"3,75,29,10,223.70",143815
09-Apr-19,EQ,770,773,758.2,767.25,760.8,760.6,765.16,"1,467.90",599.85,6730692,"5,15,00,87,734.70",146107
10-Apr-19,EQ,764,766.7,751.3,760.6,752.85,752.7,759.53,"1,467.90",599.85,7031088,"5,34,03,36,510.75",134089
11-Apr-19,EQ,751.75,751.75,740.05,752.7,743.4,742.7,744.27,"1,467.90",599.85,8200995,"6,10,37,34,443.10",158348
12-Apr-19,EQ,743.1,751.55,740.6,742.7,748,747.75,746.82,"1,467.90",599.85,7043212,"5,26,00,21,360.65",165165
15-Apr-19,EQ,724.7,731.35,712.6,747.75,728.2,727.5,724.58,"1,467.90",599.85,31574803,"22,87,86,28,207.35",566543
